Time,CO₂(ppm),Temperature(C),Humidity(%),Pressure(hPa)
6/21/2021 10:48:48 a. m.,"457","26.7","66","876"
6/21/2021 10:49:48 a. m.,"463","26.8","65","877"
6/21/2021 10:50:48 a. m.,"461","26.9","65","878"
6/21/2021 10:51:48 a. m.,"460","26.9","64","880"
6/21/2021 10:52:48 a. m.,"451","26.9","64","883"
6/21/2021 10:53:48 a. m.,"469","27.0","64","882"
6/21/2021 10:54:48 a. m.,"464","27.0","64","881"
6/21/2021 10:55:48 a. m.,"478","27.0","65","880"
6/21/2021 10:56:48 a. m.,"493","27.0","65","880"
6/21/2021 10:57:48 a. m.,"476","27.0","65","880"
6/21/2021 10:58:48 a. m.,"473","27.0","65","880"
6/21/2021 10:59:48 a. m.,"465","27.0","64","880"
6/21/2021 11:00:48 a. m.,"459","27.0","65","880"
6/21/2021 11:01:48 a. m.,"436","27.0","64","880"
6/21/2021 11:02:48 a. m.,"448","26.9","62","880"
6/21/2021 11:03:48 a. m.,"434","26.7","62","880"
6/21/2021 11:04:48 a. m.,"454","26.5","62","880"
6/21/2021 11:05:48 a. m.,"427","26.4","62","880"
6/21/2021 11:06:48 a. m.,"418","26.2","62","880"
6/21/2021 11:07:48 a. m.,"427","26.0","63","880"
6/21/2021 11:08:48 a. m.,"423","26.0","62","880"
6/21/2021 11:09:48 a. m.,"422","25.9","63","880"
6/21/2021 11:10:48 a. m.,"408","25.8","63","880"
6/21/2021 11:11:48 a. m.,"440","25.7","63","880"
6/21/2021 11:12:48 a. m.,"431","25.7","63","880"
6/21/2021 11:13:48 a. m.,"432","25.6","64","880"
6/21/2021 11:14:48 a. m.,"430","25.6","64","880"
6/21/2021 11:15:48 a. m.,"434","25.5","64","880"
6/21/2021 11:16:48 a. m.,"447","25.5","64","880"
6/21/2021 11:17:48 a. m.,"431","25.5","64","880"
6/21/2021 11:18:48 a. m.,"414","25.4","64","880"
6/21/2021 11:19:48 a. m.,"431","25.4","64","880"
6/21/2021 11:20:48 a. m.,"435","25.4","64","880"
6/21/2021 11:21:48 a. m.,"432","25.4","64","880"
6/21/2021 11:22:48 a. m.,"427","25.4","64","880"
6/21/2021 11:23:48 a. m.,"436","25.3","64","880"
6/21/2021 11:24:48 a. m.,"437","25.3","65","880"
6/21/2021 11:25:48 a. m.,"446","25.4","65","880"
6/21/2021 11:26:48 a. m.,"441","25.3","65","880"
6/21/2021 11:27:48 a. m.,"439","25.3","65","880"
6/21/2021 11:28:48 a. m.,"460","25.3","65","880"
6/21/2021 11:29:48 a. m.,"467","25.4","65","880"
6/21/2021 11:30:48 a. m.,"474","25.4","65","880"
6/21/2021 11:31:48 a. m.,"462","25.3","65","880"
6/21/2021 11:32:48 a. m.,"470","25.3","65","880"
6/21/2021 11:33:48 a. m.,"451","25.3","65","880"
6/21/2021 11:34:48 a. m.,"446","25.3","65","880"
6/21/2021 11:35:48 a. m.,"447","25.3","65","880"
6/21/2021 11:36:48 a. m.,"443","25.3","65","880"
6/21/2021 11:37:48 a. m.,"448","25.3","65","880"
6/21/2021 11:38:48 a. m.,"443","25.3","65","880"
6/21/2021 11:39:48 a. m.,"433","25.4","65","880"
6/21/2021 11:40:48 a. m.,"454","25.4","65","880"
6/21/2021 11:41:48 a. m.,"464","25.4","65","880"
6/21/2021 11:42:48 a. m.,"451","25.4","65","880"
6/21/2021 11:43:48 a. m.,"446","25.4","65","880"
6/21/2021 11:44:48 a. m.,"443","25.4","65","880"
6/21/2021 11:45:48 a. m.,"444","25.5","65","880"
6/21/2021 11:46:48 a. m.,"432","25.5","65","880"
6/21/2021 11:47:48 a. m.,"430","25.5","65","880"
6/21/2021 11:48:48 a. m.,"433","25.5","65","880"
6/21/2021 11:49:48 a. m.,"428","25.5","65","880"
6/21/2021 11:50:48 a. m.,"433","25.5","65","880"
6/21/2021 11:51:48 a. m.,"445","25.5","65","880"
6/21/2021 11:52:48 a. m.,"432","25.5","65","880"
6/21/2021 11:53:48 a. m.,"448","25.5","65","880"
6/21/2021 11:54:48 a. m.,"444","25.5","65","880"
6/21/2021 11:55:48 a. m.,"430","25.5","65","880"
6/21/2021 11:56:48 a. m.,"450","25.6","66","880"
6/21/2021 11:57:48 a. m.,"446","25.6","66","880"
6/21/2021 11:58:48 a. m.,"438","25.6","65","880"
6/21/2021 11:59:48 a. m.,"429","25.6","65","880"
6/21/2021 12:00:48 p. m.,"432","25.6","65","880"
6/21/2021 12:01:48 p. m.,"444","25.6","65","880"
6/21/2021 12:02:48 p. m.,"435","25.7","65","880"
6/21/2021 12:03:48 p. m.,"453","25.7","65","880"
6/21/2021 12:04:48 p. m.,"442","25.7","65","880"
6/21/2021 12:05:48 p. m.,"449","25.7","65","880"
6/21/2021 12:06:48 p. m.,"440","25.8","65","880"
6/21/2021 12:07:48 p. m.,"443","25.8","65","880"
6/21/2021 12:08:48 p. m.,"437","25.8","65","880"
6/21/2021 12:09:48 p. m.,"428","25.9","65","880"
6/21/2021 12:10:48 p. m.,"439","25.9","65","880"
6/21/2021 12:11:48 p. m.,"442","25.9","65","880"
6/21/2021 12:12:48 p. m.,"458","25.9","65","880"
6/21/2021 12:13:48 p. m.,"464","25.9","65","880"
6/21/2021 12:14:48 p. m.,"435","25.9","65","880"
6/21/2021 12:15:48 p. m.,"438","25.9","64","880"
6/21/2021 12:16:48 p. m.,"412","25.9","64","880"
6/21/2021 12:17:48 p. m.,"413","25.9","64","880"
6/21/2021 12:18:48 p. m.,"427","25.9","64","880"
6/21/2021 12:19:48 p. m.,"430","25.9","64","880"
6/21/2021 12:20:48 p. m.,"429","25.9","64","880"
6/21/2021 12:21:48 p. m.,"433","26.0","64","880"
6/21/2021 12:22:48 p. m.,"428","25.9","64","880"
6/21/2021 12:23:48 p. m.,"427","25.9","64","880"
6/21/2021 12:24:48 p. m.,"396","25.9","64","880"
6/21/2021 12:25:48 p. m.,"433","25.9","64","880"
6/21/2021 12:26:48 p. m.,"435","26.0","64","880"
6/21/2021 12:27:48 p. m.,"425","26.0","63","880"
6/21/2021 12:28:48 p. m.,"406","26.0","63","880"
6/21/2021 12:29:48 p. m.,"425","26.0","63","880"
6/21/2021 12:30:48 p. m.,"408","26.0","63","880"
6/21/2021 12:31:48 p. m.,"423","26.0","63","880"
6/21/2021 12:32:48 p. m.,"433","26.0","63","880"
6/21/2021 12:33:48 p. m.,"423","26.0","63","880"
6/21/2021 12:34:48 p. m.,"431","26.0","63","880"
6/21/2021 12:35:48 p. m.,"432","26.0","63","880"
6/21/2021 12:36:48 p. m.,"415","26.0","62","880"
6/21/2021 12:37:48 p. m.,"435","26.0","62","880"
6/21/2021 12:38:48 p. m.,"404","26.0","62","880"
6/21/2021 12:39:48 p. m.,"414","26.0","62","880"
6/21/2021 12:40:48 p. m.,"419","26.0","62","880"
6/21/2021 12:41:48 p. m.,"409","26.0","62","880"
6/21/2021 12:42:48 p. m.,"425","26.0","63","880"
6/21/2021 12:43:48 p. m.,"430","26.0","63","880"
6/21/2021 12:44:48 p. m.,"433","26.0","63","880"
6/21/2021 12:45:48 p. m.,"413","26.0","63","880"
6/21/2021 12:46:48 p. m.,"433","26.0","63","880"
6/21/2021 12:47:48 p. m.,"434","26.1","63","880"
6/21/2021 12:48:48 p. m.,"424","26.1","63","880"
6/21/2021 12:49:48 p. m.,"417","26.1","63","880"
6/21/2021 12:50:48 p. m.,"423","26.1","63","880"
6/21/2021 12:51:48 p. m.,"424","26.2","63","880"
6/21/2021 12:52:48 p. m.,"424","26.2","63","880"
6/21/2021 12:53:48 p. m.,"444","26.2","63","880"
6/21/2021 12:54:48 p. m.,"454","26.2","63","880"
6/21/2021 12:55:48 p. m.,"427","26.3","63","880"
6/21/2021 12:56:48 p. m.,"435","26.3","63","880"
6/21/2021 12:57:48 p. m.,"430","26.4","63","880"
6/21/2021 12:58:48 p. m.,"435","26.4","64","880"
6/21/2021 12:59:48 p. m.,"416","26.4","64","880"
6/21/2021 1:00:48 p. m.,"421","26.4","63","880"
6/21/2021 1:01:48 p. m.,"413","26.4","63","880"
6/21/2021 1:02:48 p. m.,"407","26.5","63","880"
6/21/2021 1:03:48 p. m.,"415","26.4","63","880"
6/21/2021 1:04:48 p. m.,"416","26.4","62","880"
6/21/2021 1:05:48 p. m.,"420","26.5","62","880"
6/21/2021 1:06:48 p. m.,"430","26.4","62","880"
6/21/2021 1:07:48 p. m.,"429","26.5","62","880"
6/21/2021 1:08:48 p. m.,"410","26.5","62","880"
6/21/2021 1:09:48 p. m.,"423","26.5","62","880"
6/21/2021 1:10:48 p. m.,"423","26.5","62","880"
6/21/2021 1:11:48 p. m.,"431","26.5","62","880"
6/21/2021 1:12:48 p. m.,"433","26.5","62","880"
6/21/2021 1:13:48 p. m.,"438","26.5","62","880"
6/21/2021 1:14:48 p. m.,"426","26.5","62","880"
6/21/2021 1:15:48 p. m.,"424","26.6","62","880"
6/21/2021 1:16:48 p. m.,"429","26.6","62","880"
6/21/2021 1:17:48 p. m.,"424","26.6","62","880"
6/21/2021 1:18:48 p. m.,"433","26.6","62","879"
6/21/2021 1:19:48 p. m.,"425","26.6","62","879"
6/21/2021 1:20:48 p. m.,"424","26.6","62","879"
6/21/2021 1:21:48 p. m.,"426","26.6","62","879"
6/21/2021 1:22:48 p. m.,"409","26.6","61","879"
6/21/2021 1:23:48 p. m.,"406","26.6","61","879"
6/21/2021 1:24:48 p. m.,"421","26.6","61","879"
6/21/2021 1:25:48 p. m.,"415","26.6","61","879"
6/21/2021 1:26:48 p. m.,"419","26.7","61","879"
6/21/2021 1:27:48 p. m.,"424","26.7","61","879"
6/21/2021 1:28:48 p. m.,"408","26.7","61","879"
6/21/2021 1:29:48 p. m.,"425","26.7","61","879"
6/21/2021 1:30:48 p. m.,"429","26.6","61","879"
6/21/2021 1:31:48 p. m.,"415","26.7","61","879"
6/21/2021 1:32:48 p. m.,"441","26.7","61","879"
6/21/2021 1:33:48 p. m.,"415","26.7","61","879"
6/21/2021 1:34:48 p. m.,"433","26.8","61","879"
6/21/2021 1:35:48 p. m.,"397","26.8","61","879"
6/21/2021 1:36:48 p. m.,"425","26.8","61","879"
6/21/2021 1:37:48 p. m.,"406","26.8","61","879"
6/21/2021 1:38:48 p. m.,"418","26.8","61","879"
6/21/2021 1:39:48 p. m.,"428","26.8","61","879"
6/21/2021 1:40:48 p. m.,"413","26.8","61","879"
6/21/2021 1:41:48 p. m.,"441","26.8","60","879"
6/21/2021 1:42:48 p. m.,"416","26.8","60","879"
6/21/2021 1:43:48 p. m.,"411","26.9","60","879"
6/21/2021 1:44:48 p. m.,"436","26.9","60","879"
6/21/2021 1:45:48 p. m.,"435","26.9","60","879"
6/21/2021 1:46:48 p. m.,"423","26.9","60","879"
6/21/2021 1:47:48 p. m.,"416","26.9","60","879"
6/21/2021 1:48:48 p. m.,"431","26.9","60","879"
6/21/2021 1:49:48 p. m.,"424","26.9","60","879"
6/21/2021 1:50:48 p. m.,"448","27.0","60","879"
6/21/2021 1:51:48 p. m.,"449","27.0","60","879"
6/21/2021 1:52:48 p. m.,"453","27.0","61","879"
6/21/2021 1:53:48 p. m.,"440","27.0","61","879"
6/21/2021 1:54:48 p. m.,"446","27.0","61","879"
6/21/2021 1:55:48 p. m.,"453","27.0","61","879"
6/21/2021 1:56:48 p. m.,"467","27.0","61","879"
6/21/2021 1:57:48 p. m.,"452","27.1","60","879"
6/21/2021 1:58:48 p. m.,"434","27.1","60","879"
6/21/2021 1:59:48 p. m.,"427","27.1","60","879"
6/21/2021 2:00:48 p. m.,"423","27.1","60","879"
6/21/2021 2:01:48 p. m.,"451","27.1","60","879"
6/21/2021 2:02:48 p. m.,"442","27.1","60","879"
6/21/2021 2:03:48 p. m.,"451","27.2","60","879"
6/21/2021 2:04:48 p. m.,"459","27.2","60","879"
6/21/2021 2:05:48 p. m.,"444","27.2","60","879"
6/21/2021 2:06:48 p. m.,"444","27.2","60","879"
6/21/2021 2:07:48 p. m.,"462","27.2","60","879"
6/21/2021 2:08:48 p. m.,"457","27.2","60","879"
6/21/2021 2:09:48 p. m.,"455","27.2","60","879"
6/21/2021 2:10:48 p. m.,"461","27.2","60","879"
6/21/2021 2:11:48 p. m.,"459","27.2","60","879"
6/21/2021 2:12:48 p. m.,"429","27.2","60","879"
6/21/2021 2:13:48 p. m.,"468","27.2","60","879"
6/21/2021 2:14:48 p. m.,"450","27.3","60","878"
6/21/2021 2:15:48 p. m.,"439","27.2","60","879"
6/21/2021 2:16:48 p. m.,"437","27.2","60","878"
6/21/2021 2:17:48 p. m.,"415","27.3","60","878"
6/21/2021 2:18:48 p. m.,"423","27.3","60","878"
6/21/2021 2:19:48 p. m.,"423","27.3","60","878"
6/21/2021 2:20:48 p. m.,"436","27.2","60","878"
6/21/2021 2:21:48 p. m.,"416","27.3","59","878"
6/21/2021 2:22:48 p. m.,"411","27.3","59","878"
6/21/2021 2:23:48 p. m.,"413","27.3","59","878"
6/21/2021 2:24:48 p. m.,"444","27.4","59","878"
6/21/2021 2:25:48 p. m.,"416","27.4","59","878"
6/21/2021 2:26:48 p. m.,"416","27.4","59","878"
6/21/2021 2:27:48 p. m.,"420","27.4","59","878"
6/21/2021 2:28:48 p. m.,"418","27.4","59","878"
6/21/2021 2:29:48 p. m.,"417","27.4","59","878"
6/21/2021 2:30:48 p. m.,"401","27.4","59","878"
6/21/2021 2:31:48 p. m.,"419","27.4","59","878"
6/21/2021 2:32:48 p. m.,"420","27.4","59","878"
6/21/2021 2:33:48 p. m.,"416","27.4","59","878"
6/21/2021 2:34:48 p. m.,"424","27.4","59","878"
6/21/2021 2:35:48 p. m.,"399","27.4","59","878"
6/21/2021 2:36:48 p. m.,"416","27.4","59","878"
6/21/2021 2:37:48 p. m.,"429","27.4","59","878"
6/21/2021 2:38:48 p. m.,"404","27.4","59","878"
6/21/2021 2:39:48 p. m.,"410","27.4","59","878"
6/21/2021 2:40:48 p. m.,"426","27.5","59","878"
6/21/2021 2:41:48 p. m.,"419","27.4","59","878"
6/21/2021 2:42:48 p. m.,"398","27.4","59","878"
6/21/2021 2:43:48 p. m.,"416","27.4","58","878"
6/21/2021 2:44:48 p. m.,"428","27.5","58","878"
6/21/2021 2:45:48 p. m.,"424","27.5","58","878"
6/21/2021 2:46:48 p. m.,"422","27.5","58","878"
6/21/2021 2:47:48 p. m.,"415","27.5","58","878"
6/21/2021 2:48:48 p. m.,"421","27.5","58","878"
6/21/2021 2:49:48 p. m.,"428","27.5","58","878"
6/21/2021 2:50:48 p. m.,"414","27.5","58","878"
6/21/2021 2:51:48 p. m.,"424","27.5","58","878"
6/21/2021 2:52:48 p. m.,"399","27.5","58","878"
6/21/2021 2:53:48 p. m.,"419","27.5","58","878"
6/21/2021 2:54:48 p. m.,"423","27.5","58","878"
6/21/2021 2:55:48 p. m.,"409","27.5","58","878"
6/21/2021 2:56:48 p. m.,"412","27.5","58","878"
6/21/2021 2:57:48 p. m.,"413","27.5","58","878"
6/21/2021 2:58:48 p. m.,"404","27.5","57","878"
6/21/2021 2:59:48 p. m.,"415","27.5","57","878"
6/21/2021 3:00:48 p. m.,"400","27.5","57","878"
6/21/2021 3:01:48 p. m.,"434","27.6","57","878"
6/21/2021 3:02:48 p. m.,"417","27.6","57","878"
6/21/2021 3:03:48 p. m.,"432","27.6","57","878"
6/21/2021 3:04:48 p. m.,"428","27.6","57","878"
6/21/2021 3:05:48 p. m.,"429","27.6","57","878"
6/21/2021 3:06:48 p. m.,"430","27.6","57","878"
6/21/2021 3:07:48 p. m.,"420","27.6","57","878"
6/21/2021 3:08:48 p. m.,"410","27.6","57","878"
6/21/2021 3:09:48 p. m.,"429","27.6","57","878"
6/21/2021 3:10:48 p. m.,"424","27.6","57","878"
6/21/2021 3:11:48 p. m.,"404","27.6","57","878"
6/21/2021 3:12:48 p. m.,"395","27.6","57","878"
6/21/2021 3:13:48 p. m.,"404","27.6","57","878"
6/21/2021 3:14:48 p. m.,"413","27.6","57","878"
6/21/2021 3:15:48 p. m.,"404","27.6","57","878"
6/21/2021 3:16:48 p. m.,"411","27.6","57","877"
6/21/2021 3:17:48 p. m.,"407","27.6","57","878"
6/21/2021 3:18:48 p. m.,"433","27.6","57","877"
6/21/2021 3:19:48 p. m.,"418","27.6","57","877"
6/21/2021 3:20:48 p. m.,"411","27.6","57","877"
6/21/2021 3:21:48 p. m.,"423","27.6","57","877"
6/21/2021 3:22:48 p. m.,"417","27.6","57","877"
6/21/2021 3:23:48 p. m.,"423","27.7","57","877"
6/21/2021 3:24:48 p. m.,"422","27.6","57","877"
6/21/2021 3:25:48 p. m.,"423","27.7","57","877"
6/21/2021 3:26:48 p. m.,"420","27.6","57","877"
6/21/2021 3:27:48 p. m.,"406","27.7","57","877"
6/21/2021 3:28:48 p. m.,"414","27.7","57","877"
6/21/2021 3:29:48 p. m.,"439","27.7","57","877"
6/21/2021 3:30:48 p. m.,"413","27.8","57","877"
6/21/2021 3:31:48 p. m.,"412","27.7","57","877"
6/21/2021 3:32:48 p. m.,"416","27.7","57","877"
6/21/2021 3:33:48 p. m.,"416","27.7","57","877"
6/21/2021 3:34:48 p. m.,"413","27.7","57","877"
6/21/2021 3:35:48 p. m.,"411","27.7","57","877"
