Time,CO₂(ppm),Temperature(C),Humidity(%),Pressure(hPa)
6/25/2021 5:38:22 a. m.,"991","25.3","66","871"
6/25/2021 5:39:22 a. m.,"999","25.3","66","871"
6/25/2021 5:40:22 a. m.,"997","25.3","66","871"
6/25/2021 5:41:22 a. m.,"1004","25.3","66","871"
6/25/2021 5:42:22 a. m.,"971","25.3","66","871"
6/25/2021 5:43:22 a. m.,"982","25.3","66","870"
6/25/2021 5:44:22 a. m.,"990","25.3","66","871"
6/25/2021 5:45:22 a. m.,"993","25.3","66","870"
6/25/2021 5:46:22 a. m.,"980","25.3","66","870"
6/25/2021 5:47:22 a. m.,"1010","25.3","66","870"
6/25/2021 5:48:22 a. m.,"991","25.3","66","870"
6/25/2021 5:49:22 a. m.,"994","25.3","66","870"
6/25/2021 5:50:22 a. m.,"1024","25.3","66","870"
6/25/2021 5:51:22 a. m.,"984","25.3","66","870"
6/25/2021 5:52:22 a. m.,"1002","25.3","66","870"
6/25/2021 5:53:22 a. m.,"994","25.3","66","870"
6/25/2021 5:54:22 a. m.,"996","25.3","66","870"
6/25/2021 5:55:22 a. m.,"992","25.2","66","870"
6/25/2021 5:56:22 a. m.,"994","25.2","66","870"
6/25/2021 5:57:22 a. m.,"1001","25.3","66","870"
6/25/2021 5:58:22 a. m.,"1001","25.3","66","870"
6/25/2021 5:59:22 a. m.,"1003","25.2","66","870"
6/25/2021 6:00:22 a. m.,"1014","25.3","66","870"
6/25/2021 6:01:22 a. m.,"998","25.3","66","870"
6/25/2021 6:02:22 a. m.,"1021","25.3","66","870"
6/25/2021 6:03:22 a. m.,"1005","25.3","66","871"
6/25/2021 6:04:22 a. m.,"987","25.2","66","870"
6/25/2021 6:05:22 a. m.,"1015","25.2","66","871"
6/25/2021 6:06:22 a. m.,"1022","25.2","66","871"
6/25/2021 6:07:22 a. m.,"1012","25.2","66","870"
6/25/2021 6:08:22 a. m.,"997","25.2","66","871"
6/25/2021 6:09:22 a. m.,"1041","25.2","66","871"
6/25/2021 6:10:22 a. m.,"1008","25.2","66","870"
6/25/2021 6:11:22 a. m.,"1029","25.2","66","870"
6/25/2021 6:12:22 a. m.,"1025","25.2","66","871"
6/25/2021 6:13:22 a. m.,"1022","25.2","66","871"
6/25/2021 6:14:22 a. m.,"1035","25.2","66","871"
6/25/2021 6:15:22 a. m.,"1022","25.2","66","871"
6/25/2021 6:16:22 a. m.,"1019","25.2","66","871"
6/25/2021 6:17:22 a. m.,"1018","25.2","66","871"
6/25/2021 6:18:22 a. m.,"1022","25.2","66","871"
6/25/2021 6:19:22 a. m.,"1006","25.2","66","871"
6/25/2021 6:20:22 a. m.,"1015","25.2","66","871"
6/25/2021 6:21:22 a. m.,"996","25.2","66","871"
6/25/2021 6:22:22 a. m.,"1015","25.2","66","871"
6/25/2021 6:23:22 a. m.,"1013","25.2","66","871"
6/25/2021 6:24:22 a. m.,"1031","25.2","66","871"
6/25/2021 6:25:22 a. m.,"1023","25.2","66","871"
6/25/2021 6:26:22 a. m.,"1039","25.2","66","871"
6/25/2021 6:27:22 a. m.,"1014","25.2","66","871"
6/25/2021 6:28:22 a. m.,"1046","25.2","66","871"
6/25/2021 6:29:22 a. m.,"1012","25.2","66","871"
6/25/2021 6:30:22 a. m.,"1023","25.2","66","871"
6/25/2021 6:31:22 a. m.,"1034","25.2","66","871"
6/25/2021 6:32:22 a. m.,"1027","25.2","66","871"
6/25/2021 6:33:22 a. m.,"1015","25.2","66","870"
6/25/2021 6:34:22 a. m.,"1040","25.2","66","871"
6/25/2021 6:35:22 a. m.,"1037","25.2","66","871"
6/25/2021 6:36:22 a. m.,"1049","25.2","66","871"
6/25/2021 6:37:22 a. m.,"1048","25.2","66","871"
6/25/2021 6:38:22 a. m.,"1047","25.2","66","871"
6/25/2021 6:39:22 a. m.,"1059","25.2","66","871"
6/25/2021 6:40:22 a. m.,"1041","25.2","66","871"
6/25/2021 6:41:22 a. m.,"1059","25.1","66","870"
6/25/2021 6:42:22 a. m.,"1061","25.2","66","871"
6/25/2021 6:43:22 a. m.,"1037","25.2","66","870"
6/25/2021 6:44:22 a. m.,"1055","25.1","66","870"
6/25/2021 6:45:22 a. m.,"1051","25.2","66","870"
6/25/2021 6:46:22 a. m.,"1031","25.1","66","870"
6/25/2021 6:47:22 a. m.,"1024","25.1","66","870"
6/25/2021 6:48:22 a. m.,"1049","25.1","66","870"
6/25/2021 6:49:22 a. m.,"1060","25.1","66","871"
6/25/2021 6:50:22 a. m.,"1045","25.1","66","871"
6/25/2021 6:51:22 a. m.,"1037","25.1","66","871"
6/25/2021 6:52:22 a. m.,"1054","25.1","66","871"
6/25/2021 6:53:22 a. m.,"1032","25.1","66","870"
6/25/2021 6:54:22 a. m.,"1068","25.1","66","871"
6/25/2021 6:55:22 a. m.,"1043","25.1","66","870"
6/25/2021 6:56:22 a. m.,"1070","25.1","66","871"
6/25/2021 6:57:22 a. m.,"1043","25.1","66","871"
6/25/2021 6:58:22 a. m.,"1035","25.2","66","871"
6/25/2021 6:59:22 a. m.,"1038","25.2","66","871"
6/25/2021 7:00:22 a. m.,"1037","25.2","66","871"
6/25/2021 7:01:22 a. m.,"1011","25.2","66","871"
6/25/2021 7:02:22 a. m.,"1066","25.2","66","871"
6/25/2021 7:03:22 a. m.,"1034","25.1","66","871"
6/25/2021 7:04:22 a. m.,"1048","25.1","66","871"
6/25/2021 7:05:22 a. m.,"1052","25.2","66","871"
6/25/2021 7:06:22 a. m.,"1049","25.2","66","871"
6/25/2021 7:07:22 a. m.,"1032","25.1","67","871"
6/25/2021 7:08:22 a. m.,"1043","25.2","66","871"
6/25/2021 7:09:22 a. m.,"1025","25.1","67","871"
6/25/2021 7:10:22 a. m.,"1012","25.1","66","871"
6/25/2021 7:11:22 a. m.,"1008","25.1","66","871"
6/25/2021 7:12:22 a. m.,"998","25.1","66","871"
6/25/2021 7:13:22 a. m.,"982","25.2","66","871"
6/25/2021 7:14:22 a. m.,"959","25.2","66","871"
6/25/2021 7:15:22 a. m.,"989","25.1","66","871"
6/25/2021 7:16:22 a. m.,"962","25.1","66","871"
6/25/2021 7:17:22 a. m.,"983","25.1","66","871"
6/25/2021 7:18:22 a. m.,"947","25.1","66","871"
6/25/2021 7:19:22 a. m.,"954","25.2","66","871"
6/25/2021 7:20:22 a. m.,"940","25.1","66","871"
6/25/2021 7:21:22 a. m.,"915","25.1","66","871"
6/25/2021 7:22:22 a. m.,"935","25.2","66","871"
6/25/2021 7:23:22 a. m.,"923","25.1","66","871"
6/25/2021 7:24:22 a. m.,"912","25.1","66","871"
6/25/2021 7:25:22 a. m.,"894","25.1","66","871"
6/25/2021 7:26:22 a. m.,"901","25.1","66","871"
6/25/2021 7:27:22 a. m.,"890","25.1","66","871"
6/25/2021 7:28:22 a. m.,"893","25.1","66","871"
6/25/2021 7:29:22 a. m.,"894","25.1","66","871"
6/25/2021 7:30:22 a. m.,"895","25.1","66","871"
6/25/2021 7:31:22 a. m.,"877","25.1","66","871"
6/25/2021 7:32:22 a. m.,"881","25.1","66","871"
6/25/2021 7:33:22 a. m.,"874","25.1","66","871"
6/25/2021 7:34:22 a. m.,"877","25.1","66","871"
6/25/2021 7:35:22 a. m.,"850","25.1","66","871"
6/25/2021 7:36:22 a. m.,"850","25.1","66","871"
6/25/2021 7:37:22 a. m.,"869","25.1","66","871"
6/25/2021 7:38:22 a. m.,"843","25.1","66","871"
6/25/2021 7:39:22 a. m.,"842","25.1","66","871"
6/25/2021 7:40:22 a. m.,"859","25.1","66","871"
